frame_number,timestamp_ms,landmark_name,visible,x,y,z
0,0,pose_LEFT_SHOULDER,0.99993,0.42018,0.33286,0.09464
0,0,pose_RIGHT_SHOULDER,0.99997,0.35416,0.32168,-0.12224
0,0,pose_LEFT_ELBOW,0.45201,0.42577,0.43641,0.0522
0,0,pose_RIGHT_ELBOW,0.99395,0.35554,0.4379,-0.11855
0,0,pose_LEFT_WRIST,0.77079,0.45179,0.43897,-0.17401
0,0,pose_RIGHT_WRIST,0.98179,0.40941,0.39463,-0.07853
0,0,pose_LEFT_PINKY,0.7494,0.46196,0.44673,-0.21207
0,0,pose_RIGHT_PINKY,0.95794,0.42004,0.39388,-0.09165
0,0,pose_LEFT_INDEX,0.77073,0.46279,0.42657,-0.22791
0,0,pose_RIGHT_INDEX,0.95621,0.41645,0.374,-0.10245
0,0,pose_LEFT_THUMB,0.73984,0.46149,0.42634,-0.18848
0,0,pose_RIGHT_THUMB,0.93261,0.41418,0.37481,-0.07827
0,0,pose_LEFT_HIP,0.99971,0.41553,0.55402,0.06632
0,0,pose_RIGHT_HIP,0.99949,0.37235,0.55769,-0.0662
0,0,pose_LEFT_KNEE,0.96872,0.44141,0.70566,0.03008
0,0,pose_RIGHT_KNEE,0.99298,0.36447,0.70827,-0.04437
0,0,pose_LEFT_ANKLE,0.98601,0.45076,0.85527,0.1275
0,0,pose_RIGHT_ANKLE,0.9901,0.33981,0.85837,0.09942
0,0,pose_LEFT_HEEL,0.96135,0.44198,0.8838,0.12956
0,0,pose_RIGHT_HEEL,0.88407,0.33412,0.87466,0.10707
0,0,pose_LEFT_FOOT_INDEX,0.98417,0.48955,0.89574,0.02691
0,0,pose_RIGHT_FOOT_INDEX,0.98686,0.36213,0.91033,-0.00667
2,66,pose_LEFT_SHOULDER,0.99993,0.42256,0.32662,0.07611
2,66,pose_RIGHT_SHOULDER,0.99996,0.35368,0.31984,-0.13294
2,66,pose_LEFT_ELBOW,0.48404,0.43225,0.41976,0.06155
2,66,pose_RIGHT_ELBOW,0.99251,0.35572,0.43284,-0.1518
2,66,pose_LEFT_WRIST,0.78824,0.46628,0.43304,-0.15492
2,66,pose_RIGHT_WRIST,0.97908,0.40739,0.44853,-0.17823
2,66,pose_LEFT_PINKY,0.76758,0.4739,0.44554,-0.19318
2,66,pose_RIGHT_PINKY,0.95492,0.42114,0.46195,-0.20335
2,66,pose_LEFT_INDEX,0.78851,0.47276,0.42747,-0.21306
2,66,pose_RIGHT_INDEX,0.95358,0.42023,0.44345,-0.22005
2,66,pose_LEFT_THUMB,0.75867,0.46952,0.42672,-0.17085
2,66,pose_RIGHT_THUMB,0.92841,0.4156,0.43907,-0.18247
2,66,pose_LEFT_HIP,0.99971,0.41583,0.54896,0.06509
2,66,pose_RIGHT_HIP,0.99947,0.37241,0.5526,-0.06498
2,66,pose_LEFT_KNEE,0.97121,0.4411,0.70328,0.03429
2,66,pose_RIGHT_KNEE,0.99349,0.36516,0.70264,-0.04584
2,66,pose_LEFT_ANKLE,0.98725,0.45095,0.85578,0.13521
2,66,pose_RIGHT_ANKLE,0.99094,0.33952,0.8551,0.10376
2,66,pose_LEFT_HEEL,0.96387,0.44269,0.88349,0.1374
2,66,pose_RIGHT_HEEL,0.8887,0.33349,0.8721,0.11157
2,66,pose_LEFT_FOOT_INDEX,0.98519,0.49025,0.89658,0.02691
2,66,pose_RIGHT_FOOT_INDEX,0.98755,0.36084,0.91004,-0.00937
4,133,pose_LEFT_SHOULDER,0.99993,0.42294,0.32455,0.09535
4,133,pose_RIGHT_SHOULDER,0.99995,0.35369,0.31719,-0.11211
4,133,pose_LEFT_ELBOW,0.49723,0.43238,0.41351,0.07232
4,133,pose_RIGHT_ELBOW,0.99203,0.35557,0.42787,-0.13887
4,133,pose_LEFT_WRIST,0.79287,0.46289,0.43925,-0.13128
4,133,pose_RIGHT_WRIST,0.97757,0.40516,0.4224,-0.15237
4,133,pose_LEFT_PINKY,0.77289,0.47212,0.46009,-0.16788
4,133,pose_RIGHT_PINKY,0.95318,0.41912,0.42526,-0.17554
4,133,pose_LEFT_INDEX,0.79431,0.47153,0.44923,-0.19018
4,133,pose_RIGHT_INDEX,0.95212,0.42008,0.41177,-0.18913
4,133,pose_LEFT_THUMB,0.76478,0.46594,0.44456,-0.14747
4,133,pose_RIGHT_THUMB,0.92612,0.41408,0.41012,-0.15525
4,133,pose_LEFT_HIP,0.99972,0.4158,0.5485,0.0671
4,133,pose_RIGHT_HIP,0.99949,0.37229,0.55199,-0.06698
4,133,pose_LEFT_KNEE,0.97304,0.44079,0.70311,0.01976
4,133,pose_RIGHT_KNEE,0.99395,0.36595,0.70178,-0.04481
4,133,pose_LEFT_ANKLE,0.98822,0.45075,0.85695,0.1002
4,133,pose_RIGHT_ANKLE,0.9917,0.33931,0.8536,0.09915
4,133,pose_LEFT_HEEL,0.96647,0.44252,0.88485,0.10018
4,133,pose_RIGHT_HEEL,0.89331,0.33288,0.87101,0.10602
4,133,pose_LEFT_FOOT_INDEX,0.98625,0.49135,0.89762,-0.01002
4,133,pose_RIGHT_FOOT_INDEX,0.98832,0.36077,0.91004,-0.01161
6,200,pose_LEFT_SHOULDER,0.99992,0.42317,0.32305,0.10026
6,200,pose_RIGHT_SHOULDER,0.99995,0.35359,0.31713,-0.12372
6,200,pose_LEFT_ELBOW,0.50589,0.43305,0.41138,0.06728
6,200,pose_RIGHT_ELBOW,0.99194,0.35581,0.42775,-0.1274
6,200,pose_LEFT_WRIST,0.7959,0.4629,0.43585,-0.14999
6,200,pose_RIGHT_WRIST,0.97746,0.40615,0.39333,-0.08069
6,200,pose_LEFT_PINKY,0.77403,0.47351,0.45164,-0.18656
6,200,pose_RIGHT_PINKY,0.95265,0.41953,0.39176,-0.09407
6,200,pose_LEFT_INDEX,0.79594,0.47274,0.44115,-0.2038
6,200,pose_RIGHT_INDEX,0.95162,0.41985,0.37836,-0.1057
6,200,pose_LEFT_THUMB,0.76757,0.46673,0.43777,-0.16483
6,200,pose_RIGHT_THUMB,0.92523,0.41351,0.37899,-0.08075
6,200,pose_LEFT_HIP,0.99973,0.41574,0.54854,0.06707
6,200,pose_RIGHT_HIP,0.99949,0.37223,0.55233,-0.06694
6,200,pose_LEFT_KNEE,0.97496,0.44076,0.70275,0.02296
6,200,pose_RIGHT_KNEE,0.99428,0.36557,0.7029,-0.02827
6,200,pose_LEFT_ANKLE,0.98903,0.4507,0.85711,0.10526
6,200,pose_RIGHT_ANKLE,0.99219,0.33889,0.85338,0.12333
6,200,pose_LEFT_HEEL,0.9683,0.4426,0.88522,0.10562
6,200,pose_RIGHT_HEEL,0.89683,0.33268,0.86969,0.13138
6,200,pose_LEFT_FOOT_INDEX,0.98717,0.49188,0.89718,-0.00106
6,200,pose_RIGHT_FOOT_INDEX,0.98892,0.35936,0.90963,0.01679
8,266,pose_LEFT_SHOULDER,0.99991,0.42325,0.3231,0.09227
8,266,pose_RIGHT_SHOULDER,0.99994,0.3537,0.31692,-0.14644
8,266,pose_LEFT_ELBOW,0.51224,0.43253,0.41536,0.06901
8,266,pose_RIGHT_ELBOW,0.99175,0.3562,0.43169,-0.14558
8,266,pose_LEFT_WRIST,0.79839,0.46263,0.43577,-0.14183
8,266,pose_RIGHT_WRIST,0.97706,0.40766,0.4392,-0.12392
8,266,pose_LEFT_PINKY,0.77629,0.47347,0.45667,-0.17841
8,266,pose_RIGHT_PINKY,0.95238,0.42221,0.45125,-0.14483
8,266,pose_LEFT_INDEX,0.79901,0.47283,0.44574,-0.19571
8,266,pose_RIGHT_INDEX,0.95151,0.42203,0.43223,-0.16062
8,266,pose_LEFT_THUMB,0.77151,0.46659,0.44195,-0.15641
8,266,pose_RIGHT_THUMB,0.92449,0.41584,0.42793,-0.1267
8,266,pose_LEFT_HIP,0.99972,0.41574,0.54877,0.06879
8,266,pose_RIGHT_HIP,0.99947,0.37223,0.55256,-0.06865
8,266,pose_LEFT_KNEE,0.97563,0.44086,0.7028,0.03835
