frame_number,timestamp_ms,landmark_name,visible,x,y,z
0,0,pose_LEFT_SHOULDER,0.99967,0.50621,0.2209,0.19148
0,0,pose_RIGHT_SHOULDER,0.99996,0.50331,0.21511,-0.16559
0,0,pose_LEFT_ELBOW,0.08983,0.54771,0.35497,0.13956
0,0,pose_RIGHT_ELBOW,0.96665,0.55987,0.35499,-0.12358
0,0,pose_LEFT_WRIST,0.20895,0.59797,0.3102,-0.05215
0,0,pose_RIGHT_WRIST,0.88163,0.60883,0.29306,0.09815
0,0,pose_LEFT_PINKY,0.23545,0.61415,0.29363,-0.08156
0,0,pose_RIGHT_PINKY,0.82502,0.62745,0.26786,0.10251
0,0,pose_LEFT_INDEX,0.2456,0.61597,0.28072,-0.08639
0,0,pose_RIGHT_INDEX,0.81347,0.61864,0.26163,0.09855
0,0,pose_LEFT_THUMB,0.24719,0.6088,0.28803,-0.06379
0,0,pose_RIGHT_THUMB,0.77401,0.60964,0.27192,0.10447
0,0,pose_LEFT_HIP,0.99931,0.52189,0.53876,0.10886
0,0,pose_RIGHT_HIP,0.99929,0.5075,0.53868,-0.10894
0,0,pose_LEFT_KNEE,0.69337,0.55071,0.76262,0.18553
0,0,pose_RIGHT_KNEE,0.97389,0.47676,0.76881,-0.07771
0,0,pose_LEFT_ANKLE,0.84359,0.56095,0.96793,0.31002
0,0,pose_RIGHT_ANKLE,0.96914,0.41164,0.97504,0.00643
0,0,pose_LEFT_HEEL,0.78542,0.55009,1.0263,0.31732
0,0,pose_RIGHT_HEEL,0.89835,0.39625,0.99155,0.01281
0,0,pose_LEFT_FOOT_INDEX,0.83887,0.61137,0.98683,0.26315
0,0,pose_RIGHT_FOOT_INDEX,0.94274,0.4189,1.01462,-0.06467
2,128,pose_LEFT_SHOULDER,0.99965,0.50825,0.22222,0.21371
2,128,pose_RIGHT_SHOULDER,0.99995,0.50038,0.20684,-0.14304
2,128,pose_LEFT_ELBOW,0.08687,0.54801,0.35539,0.14851
2,128,pose_RIGHT_ELBOW,0.96571,0.54613,0.34851,-0.11164
2,128,pose_LEFT_WRIST,0.21121,0.59842,0.31076,-0.04853
2,128,pose_RIGHT_WRIST,0.88126,0.59801,0.29314,0.0925
2,128,pose_LEFT_PINKY,0.2409,0.61314,0.29391,-0.07903
2,128,pose_RIGHT_PINKY,0.82611,0.61727,0.27546,0.09484
2,128,pose_LEFT_INDEX,0.25151,0.61547,0.28189,-0.08739
2,128,pose_RIGHT_INDEX,0.81455,0.61362,0.2608,0.09087
2,128,pose_LEFT_THUMB,0.25347,0.61393,0.29306,-0.06275
2,128,pose_RIGHT_THUMB,0.77462,0.60678,0.26866,0.09798
2,128,pose_LEFT_HIP,0.99927,0.52409,0.5356,0.10918
2,128,pose_RIGHT_HIP,0.99922,0.50726,0.53522,-0.10917
2,128,pose_LEFT_KNEE,0.6989,0.55003,0.75251,0.1618
2,128,pose_RIGHT_KNEE,0.9746,0.48012,0.76561,-0.10606
2,128,pose_LEFT_ANKLE,0.84555,0.55966,0.96554,0.25493
2,128,pose_RIGHT_ANKLE,0.96881,0.41521,0.97431,-0.0481
2,128,pose_LEFT_HEEL,0.78937,0.5488,0.99133,0.25849
2,128,pose_RIGHT_HEEL,0.89555,0.39805,0.98849,-0.04422
2,128,pose_LEFT_FOOT_INDEX,0.83903,0.60123,0.98701,0.20263
2,128,pose_RIGHT_FOOT_INDEX,0.94173,0.44746,1.04148,-0.1268
4,256,pose_LEFT_SHOULDER,0.99958,0.49952,0.2236,0.19489
4,256,pose_RIGHT_SHOULDER,0.99995,0.4899,0.20563,-0.15095
4,256,pose_LEFT_ELBOW,0.0835,0.53703,0.35946,0.11257
4,256,pose_RIGHT_ELBOW,0.96314,0.53391,0.35232,-0.13051
4,256,pose_LEFT_WRIST,0.20445,0.58666,0.31946,-0.08997
4,256,pose_RIGHT_WRIST,0.87407,0.58936,0.29425,0.06319
4,256,pose_LEFT_PINKY,0.23534,0.60574,0.29462,-0.12122
4,256,pose_RIGHT_PINKY,0.8187,0.60655,0.27925,0.06518
4,256,pose_LEFT_INDEX,0.24587,0.61255,0.29445,-0.12588
4,256,pose_RIGHT_INDEX,0.8068,0.6026,0.26126,0.06188
4,256,pose_LEFT_THUMB,0.24834,0.60566,0.29928,-0.10241
